iter	Passed	Remaining
0	48	146394
1	57	85942
2	77	77373
3	101	76156
4	140	84074
5	165	82503
6	206	88476
7	257	96442
8	285	94960
9	297	89056
10	319	86711
11	343	85628
12	368	84712
13	391	83600
14	416	82970
15	439	82013
16	465	81630
17	491	81394
18	516	80997
19	539	80427
20	564	80091
21	589	79786
22	598	77434
23	605	75096
24	628	74818
25	662	75815
26	689	75897
27	713	75743
28	738	75671
29	788	78080
30	813	77864
31	838	77797
32	867	77959
33	896	78172
34	930	78799
35	961	79185
36	990	79330
37	1019	79474
38	1051	79855
39	1087	80440
40	1117	80621
41	1146	80717
42	1181	81281
43	1213	81546
44	1240	81478
45	1264	81188
46	1289	81008
47	1318	81071
48	1343	80908
49	1366	80600
50	1394	80618
51	1419	80451
52	1444	80338
53	1470	80248
54	1487	79672
55	1497	78716
56	1525	78750
57	1550	78647
58	1575	78550
59	1600	78420
60	1613	77733
61	1637	77611
62	1664	77612
63	1689	77508
64	1714	77401
65	1740	77376
66	1765	77278
67	1793	77329
68	1830	77775
69	1855	77677
70	1879	77543
71	1892	76957
72	1918	76930
73	1930	76339
74	1955	76267
75	1980	76211
76	2005	76115
77	2028	75982
78	2053	75913
79	2076	75785
80	2092	75422
81	2116	75330
82	2140	75225
83	2167	75247
84	2194	75254
85	2207	74786
86	2232	74742
87	2247	74381
88	2287	74823
89	2312	74755
90	2332	74549
91	2356	74479
92	2381	74434
93	2405	74369
94	2434	74434
95	2457	74331
96	2483	74322
97	2507	74241
98	2531	74182
99	2554	74089
100	2579	74034
101	2602	73947
102	2626	73865
103	2650	73816
104	2674	73750
105	2700	73719
106	2725	73695
107	2750	73650
108	2776	73628
109	2799	73559
110	2825	73527
111	2851	73520
112	2876	73493
113	2900	73429
114	2925	73381
115	2951	73388
116	2978	73397
117	2998	73239
118	3023	73188
119	3047	73146
120	3073	73121
121	3097	73061
122	3124	73071
123	3149	73049
124	3174	73013
125	3220	73453
126	3300	74667
127	3343	75026
128	3368	74964
129	3388	74807
130	3413	74760
131	3438	74713
132	3463	74665
133	3489	74631
134	3513	74567
135	3536	74477
136	3560	74404
137	3584	74330
138	3609	74288
139	3632	74210
140	3657	74157
141	3681	74095
142	3707	74064
143	3727	73919
144	3755	73935
145	3777	73848
146	3802	73790
147	3826	73732
148	3851	73696
149	3888	73873
150	3912	73816
151	3936	73765
152	3962	73734
153	3986	73672
154	4011	73629
155	4035	73567
156	4060	73528
157	4084	73462
158	4108	73413
159	4132	73352
160	4158	73330
161	4188	73383
162	4213	73330
163	4238	73289
164	4264	73276
165	4289	73226
166	4315	73201
167	4339	73145
168	4364	73112
169	4389	73071
170	4431	73321
171	4454	73243
172	4481	73231
173	4506	73185
174	4550	73456
175	4574	73400
176	4599	73359
177	4623	73297
178	4653	73334
179	4681	73349
180	4706	73306
181	4734	73299
182	4765	73363
183	4794	73383
184	4819	73337
185	4857	73489
186	4876	73358
187	4899	73283
188	4924	73248
189	4949	73198
190	4976	73192
191	5000	73132
192	5025	73087
193	5048	73020
194	5073	72979
195	5098	72935
196	5123	72903
197	5147	72844
198	5171	72790
199	5195	72736
200	5220	72702
201	5245	72652
202	5270	72624
203	5295	72579
204	5316	72487
205	5340	72438
206	5366	72407
207	5390	72360
208	5416	72328
209	5457	72500
210	5483	72485
211	5511	72477
212	5538	72472
213	5563	72424
